MEMBER_NO,AGE_GROUP,SEX_CCD,HM_ZPN
Z0604256821ST,20th,M,2116
Z0604272391ST,20th,M,25148
Z0604276441ST,20th,F,15862
Z0604280671ST,20th,M,21442
Z0604283411ST,20th,M,17742
Z0604285011ST,20th,F,44679
Z0604292231ST,20th,M,12773
Z0604294371ST,20th,M,28740
Z0604295901ST,20th,F,13433
Z0604296101ST,20th,M,11752
Z0604299481ST,20th,F,11949
Z0613211461ST,20th,F,10230
Z0613263081ST,20th,M,12662
Z0614252271ST,20th,F,58741
Z0614288041ST,20th,F,14645
Z0614298501ST,20th,M,10385
Z0623244231ST,20th,M,10113
Z0623248571ST,20th,M,27478
Z0623262091ST,20th,M,7976
Z0624213201ST,20th,F,21357
Z0624219551ST,20th,F,464795
Z0624223081ST,20th,M,361700
Z0624290051ST,20th,M,22535
Z0633225641ST,20th,M,63135
Z0633251801ST,20th,M,2016
Z0633258911ST,20th,M,34400
Z0634211051ST,20th,F,16872
Z0634212141ST,20th,F,62018
Z0634217961ST,20th,F,38067
Z0634218681ST,20th,F,59227
Z0634219051ST,20th,M,1411
Z0634222131ST,20th,F,13950
Z0634222281ST,20th,F,12916
Z0634223751ST,20th,F,17343
Z0634224091ST,20th,F,8829
Z0634225581ST,20th,M,17877
Z0634226331ST,20th,F,24383
Z0634228021ST,20th,F,16606
Z0634229451ST,20th,F,13523
Z0634229721ST,20th,M,2814
Z0634231951ST,20th,M,36627
Z0634232171ST,20th,F,57047
Z0634236161ST,20th,M,21606
Z0634236931ST,20th,M,42948
Z0634237271ST,20th,M,12653
Z0634238011ST,20th,F,3777
Z0634238051ST,20th,M,14726
Z0634239121ST,20th,F,28674
Z0634239191ST,20th,F,44046
Z0634245101ST,20th,F,6361
Z0634245201ST,20th,F,11809
Z0634247481ST,20th,F,44743
Z0634248231ST,20th,M,21058
Z0634248321ST,20th,M,41425
Z0634250741ST,20th,F,33361
Z0634254401ST,20th,M,50862
Z0634254711ST,20th,F,32141
Z0634258911ST,20th,F,16270
Z0634260871ST,20th,F,14439
Z0634262021ST,20th,F,14064
Z0634262741ST,20th,M,4763
Z0634263121ST,20th,F,28674
Z0634272021ST,20th,F,16588
Z0634272651ST,20th,F,21984
Z0634272701ST,20th,M,44508
Z0634272721ST,20th,M,6965
Z0634275431ST,20th,F,8089
Z0634277011ST,20th,F,49233
Z0634277921ST,20th,M,21341
Z0634281211ST,20th,M,3351
Z0634282491ST,20th,F,31171
Z0634282751ST,20th,M,24854
Z0634285581ST,20th,F,5801
Z0634286431ST,20th,F,14275
Z0634286621ST,20th,F,59229
Z0634289101ST,20th,F,21101
Z0634289351ST,20th,F,22735
Z0634293471ST,20th,F,7604
Z0634293881ST,20th,M,3425
Z0634295261ST,20th,F,58613
Z0634295351ST,20th,F,1873
Z0643239691ST,20th,M,16002
Z0643269641ST,20th,M,27809
Z0643285961ST,20th,M,34206
Z0644216351ST,20th,M,4763
Z0644233051ST,20th,M,17737
Z0644241761ST,20th,M,49239
Z0644247201ST,20th,M,31137
Z0644249661ST,20th,M,54904
Z0644252151ST,20th,F,4763
Z0644256971ST,20th,M,13592
Z0644260171ST,20th,M,4763
Z0644264191ST,20th,F,48905
Z0644269471ST,20th,M,12089
Z0644269781ST,20th,F,42781
Z0644271601ST,20th,F,14591
Z0644285011ST,20th,M,6075
Z0644289241ST,20th,M,21037
Z0644290261ST,20th,F,28753
Z0644293931ST,20th,M,47516
Z0644297351ST,20th,M,13295
Z0653229611ST,20th,M,21100
Z0662224431ST,20th,F,6516
Z0663224121ST,20th,F,15514
Z0663235821ST,20th,M,24258
Z0704211851ST,20th,M,28339
Z0704213371ST,20th,F,8100
Z0704218851ST,20th,M,31027
Z0704239411ST,20th,F,17349
Z0704258241ST,20th,F,38104
Z0704276011ST,20th,F,1081
Z0704282971ST,20th,F,14292
Z0704289731ST,20th,F,22783
Z0714216141ST,20th,M,4913
Z0714219871ST,20th,F,3722
Z0714245431ST,20th,M,14124
Z0714259071ST,20th,F,6715
Z0714267791ST,20th,F,448990
Z0714273941ST,20th,F,6601
Z0714278971ST,20th,F,8104
Z0714279261ST,20th,F,6044
Z0714280171ST,20th,F,1727
Z0714282061ST,20th,M,7987
Z0714299311ST,20th,F,44920
Z0724210161ST,20th,F,42606
Z0724225511ST,20th,M,14948
Z0724227401ST,20th,M,21377
Z0724227461ST,20th,M,13803
Z0724235861ST,20th,M,51112
Z0724239751ST,20th,M,361795
Z0724254701ST,20th,F,28602
Z0724266961ST,20th,F,18143
Z0724278991ST,20th,M,7209
Z0724298091ST,20th,M,7976
Z0724299711ST,20th,M,21563
Z0734237691ST,20th,F,58558
Z0734269401ST,20th,F,5078
Z0734270601ST,20th,F,62067
Z0734273001ST,20th,F,26418
Z0734291811ST,20th,F,15373
Z0744223301ST,20th,F,57941
Z0744226501ST,20th,F,2623
Z0744229821ST,20th,M,38131
Z0744244721ST,20th,F,12940
Z0744252171ST,20th,M,16550
Z0744264921ST,20th,F,10815
Z0744266071ST,20th,F,62282
Z0744266521ST,20th,M,58646
Z0744268401ST,20th,F,10822
Z0744274421ST,20th,M,7931
Z0744276831ST,20th,F,27496
Z0744278021ST,20th,F,18342
Z0744280891ST,20th,M,23112
Z0744288181ST,20th,F,31183
Z0744296771ST,20th,F,15594
Z0753229081ST,20th,M,8104
Z0753231561ST,20th,M,18259
Z0763224201ST,20th,M,6975
Z0763244141ST,20th,M,7392
Z0804241961ST,20th,M,5510
Z0804251281ST,20th,M,4200
Z0804261411ST,20th,M,61143
Z0804289851ST,20th,F,56141
Z0804298791ST,20th,F,5544
Z0813285921ST,20th,F,3918
Z0814210951ST,20th,F,2043
Z0814212571ST,20th,F,5280
Z0814214671ST,20th,F,12136
Z0814215841ST,20th,F,27378
Z0814219811ST,20th,F,16472
Z0814222131ST,20th,M,44519
Z0814227671ST,20th,F,16543
Z0814229961ST,20th,F,16891
Z0814231741ST,20th,M,21090
Z0814231781ST,20th,F,18375
Z0814233901ST,20th,F,1726
Z0814234351ST,20th,F,11459
Z0814237501ST,20th,M,36629
Z0814241111ST,20th,F,39223
Z0814250871ST,20th,M,15231
Z0814251471ST,20th,M,13934
Z0814265321ST,20th,M,14746
Z0814269301ST,20th,M,8637
Z0814271061ST,20th,F,4374
Z0814271891ST,20th,F,5064
Z0814274431ST,20th,M,15298
Z0814274641ST,20th,M,14276
Z0814275301ST,20th,M,12154
Z0814275351ST,20th,F,403703
Z0814278961ST,20th,M,23103
Z0814283061ST,20th,M,38343
Z0814299181ST,20th,F,18148
Z0814299361ST,20th,M,10483
Z0823277401ST,20th,M,22106
Z0824210991ST,20th,M,2019
Z0824211011ST,20th,M,46035
Z0824211541ST,20th,F,10218
Z0824213161ST,20th,F,17832
Z0824214821ST,20th,F,15505
Z0824216341ST,20th,M,3607
Z0824217891ST,20th,F,44707
Z0824219141ST,20th,M,3665
Z0824219281ST,20th,F,44452
Z0824223701ST,20th,M,24292
Z0824227131ST,20th,F,17935
Z0824227171ST,20th,F,24265
Z0824227791ST,20th,F,6918
Z0824228881ST,20th,M,44630
Z0824232381ST,20th,M,44677
Z0824235661ST,20th,F,5504
Z0824239231ST,20th,M,44711
Z0824240511ST,20th,M,14539
Z0824241781ST,20th,M,23002
Z0824242141ST,20th,F,5736
Z0824245561ST,20th,F,24326
Z0824248131ST,20th,F,1727
Z0824248801ST,20th,M,50553
Z0824250641ST,20th,M,58839
Z0824254611ST,20th,F,4711
Z0824254701ST,20th,F,13458
Z0824255091ST,20th,F,13165
Z0824257011ST,20th,F,1331
Z0824257621ST,20th,F,53071
Z0824258761ST,20th,M,27161
Z0824262601ST,20th,M,16658
Z0824265681ST,20th,M,44496
Z0824266151ST,20th,M,6278
Z0824270801ST,20th,F,34930
Z0824273891ST,20th,F,38450
Z0824280891ST,20th,M,54937
Z0824283601ST,20th,F,12771
Z0824285031ST,20th,F,7952
Z0824285331ST,20th,M,31127
Z0824291031ST,20th,F,411738
Z0824293051ST,20th,F,44094
Z0824296951ST,20th,M,31005
Z0824296991ST,20th,F,24318
Z0824297031ST,20th,F,2865
Z0833247271ST,20th,F,24232
Z0834298391ST,20th,F,16083
Z0834299541ST,20th,F,1449
Z0843269261ST,20th,M,37693
Z0843279361ST,20th,M,3415
Z0844248071ST,20th,F,17560
Z0853289591ST,20th,M,6902
Z0863215411ST,20th,F,3610
Z0863238501ST,20th,M,24341
Z0863249501ST,20th,M,22366
Z0863250021ST,20th,M,10403
Z0863269171ST,20th,M,6968
Z0863269201ST,20th,M,31526
Z0863279611ST,20th,M,15810
Z0904250751ST,20th,M,8101
Z0904257911ST,20th,M,28781
Z0904266671ST,20th,M,28328
Z0904275781ST,20th,F,24226
Z0914216871ST,20th,F,12790
Z0914229761ST,20th,F,1165
Z0914252071ST,20th,M,28628
Z0914252711ST,20th,M,1216
Z0914253911ST,20th,M,26456
Z0914259701ST,20th,F,1053
Z0914262201ST,20th,M,11484
Z0914264561ST,20th,F,540758
Z0914277811ST,20th,F,143758
Z0914283331ST,20th,F,3723
Z0923297401ST,20th,M,2772
Z0924210351ST,20th,F,2436
Z0924213951ST,20th,F,4140
Z0924223521ST,20th,M,44260
Z0924227441ST,20th,F,54642
Z0924236641ST,20th,M,7623
Z0924239271ST,20th,F,7439
Z0924239901ST,20th,F,33443
Z0924271831ST,20th,M,8864
Z0924289241ST,20th,F,14263
Z0933212051ST,20th,M,44706
Z0933237741ST,20th,M,44523
Z0933246921ST,20th,M,14581
Z0933265041ST,20th,M,3093
Z0933280421ST,20th,F,31233
Z0933284211ST,20th,M,5232
Z0933296681ST,20th,F,10915
Z0934289841ST,20th,M,28727
Z0943263011ST,20th,M,22105
Z0953240251ST,20th,M,24340
Z0953247251ST,20th,F,6093
Z0963216701ST,20th,F,21519
Z0963218741ST,20th,M,7546
Z0963221431ST,20th,M,14224
Z0963224311ST,20th,M,28682
Z0963229731ST,20th,M,34890
Z0963230001ST,20th,M,13289
Z0963240751ST,20th,M,41712
Z0963248131ST,20th,F,35235
Z0963265121ST,20th,M,18109
Z0963293741ST,20th,M,58900
Z0963294631ST,20th,F,7006
Z1013255061ST,20th,M,1479
Z1014227441ST,20th,F,18432
Z1014240311ST,20th,M,22766
Z1014246551ST,20th,M,21332
Z1014280111ST,20th,M,26456
Z1024247871ST,20th,M,11404
Z1024254001ST,20th,F,3759
Z1024292841ST,20th,M,38831
Z1024296161ST,20th,F,13917
Z1033214921ST,20th,M,14731
Z1034250391ST,20th,F,21325
Z1034260851ST,20th,F,3948
Z1034261131ST,20th,M,13312
Z1034277141ST,20th,F,10360
Z1043211651ST,20th,M,58666
Z1043220051ST,20th,F,31576
Z1043239171ST,20th,M,18327
Z1043273451ST,20th,M,14790
Z1044232131ST,20th,F,5318
Z1044240311ST,20th,M,5516
Z1044252161ST,20th,F,62281
Z1044269281ST,20th,F,3702
Z1044278321ST,20th,F,5553
Z1063230611ST,20th,F,25208
Z1063265171ST,20th,F,17158
Z1073267561ST,20th,F,2025
Z1113217981ST,20th,M,26388
Z1113285181ST,20th,F,16807
Z1114291101ST,20th,F,2705
Z1123243911ST,20th,M,15589
Z1124219911ST,20th,M,14247
Z1124222981ST,20th,M,5502
Z1124245671ST,20th,M,14697
Z1124275051ST,20th,M,16459
Z1133221221ST,20th,F,8596
Z1143247911ST,20th,M,5074
Z1143255851ST,20th,M,25950
Z1143266781ST,20th,M,10233
Z1143286311ST,20th,F,14977
Z1153259031ST,20th,F,4324
Z1153294701ST,20th,M,13103
Z1154230161ST,20th,F,4763
Z1154283661ST,20th,M,15588
Z1154284061ST,20th,M,4763
Z1163274421ST,20th,F,5501
Z1173272571ST,20th,F,14263
Z1204269491ST,20th,M,26405
Z1213260521ST,20th,M,13499
Z1213268601ST,20th,F,1463
Z1213282241ST,20th,M,16014
Z1213286041ST,20th,F,22157
Z1214272981ST,20th,M,7380
Z1223227851ST,20th,F,62293
Z1224251461ST,20th,M,18553
Z1224299681ST,20th,M,44471
Z1234236321ST,20th,M,10311
Z1243212211ST,20th,F,2503
Z1243252591ST,20th,M,21597
Z1253212731ST,20th,M,14070
Z1263211341ST,20th,M,16938
Z1263226961ST,20th,M,16298
Z1263285271ST,20th,M,15023
Z1263286621ST,20th,M,16202
Z1273234331ST,20th,F,11158
Z1273269971ST,20th,M,10307
Z1273280411ST,20th,F,10303
Z1273295751ST,20th,F,22217
Z1273296271ST,20th,M,3952
Z1304215031ST,20th,M,24315
Z1304215671ST,20th,F,8357
Z1304219171ST,20th,M,12915
Z1304223951ST,20th,F,13634
Z1304259031ST,20th,M,42110
Z1304259971ST,20th,M,51433
Z1304263381ST,20th,F,8061
Z1304283101ST,20th,M,18405
Z1304283341ST,20th,F,2044
Z1304294211ST,20th,M,21912
Z1313235101ST,20th,F,1901
Z1313251541ST,20th,M,2124
Z1314250591ST,20th,F,17397
Z1314254531ST,20th,F,10116
Z1314266191ST,20th,F,25209
Z1314273691ST,20th,M,4761
Z1314289501ST,20th,F,17149
Z1323246061ST,20th,M,16574
Z1324259911ST,20th,M,22150
Z1324285321ST,20th,M,14019
Z1333230601ST,20th,M,12192
Z1334236161ST,20th,M,31538
Z1343217241ST,20th,M,14062
Z1343237411ST,20th,F,3784
Z1344214331ST,20th,F,34120
Z1344286751ST,20th,M,59763
Z1353210151ST,20th,M,21669
Z1353219991ST,20th,F,10472
Z1353233991ST,20th,F,15290
Z1353238081ST,20th,M,10325
Z1353247031ST,20th,M,21934
Z1353252011ST,20th,F,44925
Z1353295291ST,20th,M,22319
Z1363237381ST,20th,M,61098
Z1363242801ST,20th,F,11172
Z1363275081ST,20th,M,57612
Z1363284871ST,20th,M,54511
Z1363299491ST,20th,F,4953
Z1373215931ST,20th,F,24415
Z1373222571ST,20th,M,36723
Z1373224171ST,20th,F,24856
Z1373239731ST,20th,F,16032
Z1373257271ST,20th,M,31233
Z1404215191ST,20th,M,28765
Z1404215981ST,20th,F,3408
Z1404217781ST,20th,F,61701
Z1404236241ST,20th,F,1661
Z1404260781ST,20th,M,14102
Z1404261231ST,20th,F,22132
Z1404266051ST,20th,M,14074
Z1413283171ST,20th,F,22230
Z1414244161ST,20th,M,3491
Z1414256431ST,20th,F,6698
Z1414263531ST,20th,F,21616
Z1414268031ST,20th,M,790751
Z1414285221ST,20th,F,15260
Z1414286741ST,20th,M,17878
Z1424236201ST,20th,F,6217
Z1424288651ST,20th,F,24413
Z1433284521ST,20th,F,37135
Z1434253381ST,20th,M,4765
Z1434255421ST,20th,F,5663
Z1434263791ST,20th,F,1687
Z1434288231ST,20th,M,1742
Z1434290371ST,20th,M,16928
Z1434297851ST,20th,F,8316
Z1443294741ST,20th,M,7550
Z1443297211ST,20th,M,14242
Z1444234621ST,20th,F,8092
Z1453228191ST,20th,F,37584
Z1453232851ST,20th,M,8566
Z1453235511ST,20th,M,17926
Z1453236451ST,20th,M,21931
Z1463219311ST,20th,M,7227
Z1463228841ST,20th,F,13536
Z1463266431ST,20th,M,15521
Z1463289361ST,20th,M,21363
Z1473211901ST,20th,F,28497
Z1473226471ST,20th,M,62219
Z1473249421ST,20th,M,58566
Z1504212581ST,20th,M,28150
Z1504212671ST,20th,F,5656
Z1504227431ST,20th,F,12748
Z1504230231ST,20th,M,6131
Z1504256001ST,20th,M,61071
Z1504261141ST,20th,M,16659
Z1504275671ST,20th,M,32964
Z1504285781ST,20th,M,28650
Z1504297111ST,20th,F,6187
Z1504298251ST,20th,M,15538
Z1513289541ST,20th,M,138753
Z1514236531ST,20th,M,62036
Z1514239641ST,20th,M,27944
Z1514248541ST,20th,F,3100
Z1514256111ST,20th,M,17003
Z1514277141ST,20th,F,4129
Z1514287531ST,20th,M,28327
Z1514292541ST,20th,M,62250
Z1523211981ST,20th,M,37547
Z1523277791ST,20th,F,52533
Z1523278711ST,20th,M,5074
Z1523283461ST,20th,F,57013
Z1523287221ST,20th,M,8224
Z1524212411ST,20th,F,2415
Z1524217321ST,20th,F,471736
Z1524248281ST,20th,F,58684
Z1524253851ST,20th,F,16519
Z1524258731ST,20th,M,16008
Z1524270161ST,20th,M,41457
Z1524286721ST,20th,M,24214
Z1534212891ST,20th,F,28659
Z1534239101ST,20th,F,44613
Z1534240571ST,20th,F,42625
Z1534258191ST,20th,F,8705
Z1534270611ST,20th,M,55056
Z1544256521ST,20th,M,14100
Z1553216801ST,20th,M,24259
Z1553222641ST,20th,M,447050
Z1553238791ST,20th,F,14977
Z1553242741ST,20th,M,4426
Z1553254001ST,20th,M,7510
Z1553290001ST,20th,M,11675
Z1563257241ST,20th,F,8100
Z1563283521ST,20th,F,59674
Z1573224681ST,20th,F,3407
Z1573232441ST,20th,M,61726
Z1573266591ST,20th,M,13291
Z1573267011ST,20th,M,31100
Z1573278831ST,20th,F,15620
Z1604210831ST,20th,F,11809
Z1604223531ST,20th,F,16213
Z1604224971ST,20th,F,11177
Z1604231091ST,20th,M,1489
Z1604234471ST,20th,F,16879
Z1604245861ST,20th,M,14027
Z1604253221ST,20th,F,14314
Z1604283231ST,20th,F,22800
Z1604287581ST,20th,F,58671
Z1613236881ST,20th,M,27802
Z1613243421ST,20th,F,1750
Z1614239501ST,20th,M,30130
Z1614242041ST,20th,F,11791
Z1614243631ST,20th,F,4618
Z1614271671ST,20th,M,12207
Z1614274541ST,20th,F,12251
Z1614282871ST,20th,M,6511
Z1614298311ST,20th,F,15298
Z1614298361ST,20th,M,10472
Z1624212041ST,20th,F,4776
Z1624214371ST,20th,F,28371
Z1624216011ST,20th,F,15589
Z1624238161ST,20th,M,6548
Z1624238421ST,20th,M,28639
Z1624244111ST,20th,F,5338
Z1624248051ST,20th,M,32974
Z1624258891ST,20th,M,38067
Z1624268411ST,20th,M,13586
Z1624274521ST,20th,M,362853
Z1624281051ST,20th,M,5280
Z1624288291ST,20th,M,7548
Z1624289541ST,20th,M,28768
Z1624289731ST,20th,M,18456
Z1624293931ST,20th,M,6920
Z1634210391ST,20th,M,10031
Z1634216721ST,20th,F,18477
Z1634219251ST,20th,M,18447
Z1634223081ST,20th,F,31037
Z1634225201ST,20th,M,24335
Z1634226721ST,20th,F,62375
Z1634227101ST,20th,M,21912
Z1634228081ST,20th,F,10476
Z1634228451ST,20th,F,41470
Z1634230461ST,20th,F,36667
Z1634230981ST,20th,F,36651
Z1634231031ST,20th,M,24043
Z1634233641ST,20th,F,24341
Z1634234421ST,20th,F,18269
Z1634234801ST,20th,M,12733
Z1634237131ST,20th,F,17869
Z1634237871ST,20th,M,44420
Z1634240501ST,20th,M,34530
Z1634241501ST,20th,F,31184
Z1634243981ST,20th,M,36118
Z1634246181ST,20th,M,5254
Z1634246691ST,20th,M,61641
Z1634248861ST,20th,F,5373
Z1634249881ST,20th,F,10377
Z1634250751ST,20th,M,4747
Z1634250781ST,20th,M,13233
Z1634252791ST,20th,M,16682
Z1634254901ST,20th,M,58645
Z1634257841ST,20th,M,5210
Z1634260251ST,20th,F,21562
Z1634261471ST,20th,M,7956
Z1634261831ST,20th,F,8808
Z1634261841ST,20th,F,13440
Z1634262401ST,20th,F,61025
Z1634268981ST,20th,M,39196
Z1634274291ST,20th,M,15496
Z1634276161ST,20th,M,14720
Z1634277231ST,20th,F,28123
Z1634282121ST,20th,F,10360
Z1634282841ST,20th,M,11742
Z1634284651ST,20th,M,28143
Z1634284711ST,20th,M,16950
Z1634286161ST,20th,F,44239
Z1634290301ST,20th,F,3948
Z1634292971ST,20th,F,14244
Z1634297301ST,20th,F,2713
Z1643235931ST,30th,M,21038
Z1643237581ST,30th,M,14588
Z1643253161ST,20th,F,21350
Z1643281751ST,20th,F,6544
Z1644214231ST,20th,F,28563
Z1644217491ST,20th,F,22807
Z1644222451ST,20th,F,51763
Z1644232321ST,30th,M,15026
Z1644233141ST,30th,M,4763
Z1644237581ST,20th,F,46530
Z1644241521ST,20th,F,62250
Z1644242181ST,30th,M,5267
Z1644242471ST,20th,F,5303
Z1644244401ST,30th,M,14994
Z1644249461ST,20th,F,24200
Z1644251671ST,20th,F,50982
Z1644254871ST,30th,M,7808
Z1644255381ST,20th,F,49361
Z1644256381ST,30th,M,16903
Z1644260061ST,30th,M,4763
Z1644264611ST,30th,M,21670
Z1644264751ST,20th,F,38060
Z1644265951ST,20th,F,59688
Z1644266721ST,30th,M,16915
Z1644288631ST,20th,F,13630
Z1644295301ST,30th,M,6291
